iShares ESG Optimized MSCI USA ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"Jan 24, 2005"
Shares Outstanding,"25,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VLTO","VERALTO CORP","Industrials","Equity","13,701,633.50","0.34","13,701,633.50","143,098.00","95.75","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS","Information Technology","Equity","13,629,170.70","0.34","13,629,170.70","48,693.00","279.90","United States","NASDAQ","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","13,545,331.02","0.34","13,545,331.02","199,607.00","67.86","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS","Consumer Discretionary","Equity","13,475,296.60","0.34","13,475,296.60","78,619.00","171.40","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","13,443,222.00","0.34","13,443,222.00","35,720.00","376.35","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM","Information Technology","Equity","13,177,243.60","0.33","13,177,243.60","71,290.00","184.84","United States","NASDAQ","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","12,740,421.76","0.32","12,740,421.76","31,592.00","403.28","United States","NYSE","USD","1.00","USD","-"
"CASY","CASEYS GENERAL STORES INC","Consumer Staples","Equity","12,549,234.00","0.31","12,549,234.00","21,306.00","589.00","United States","NASDAQ","USD","1.00","USD","-"
"CBRE","CBRE GROUP CLASS A","Real Estate","Equity","12,538,987.20","0.31","12,538,987.20","90,495.00","138.56","United States","NYSE","USD","1.00","USD","-"
"TWLO","TWILIO CLASS A","Information Technology","Equity","12,467,863.84","0.31","12,467,863.84","52,193.00","238.88","United States","NYSE","USD","1.00","USD","-"
"MELI","MERCADOLIBRE","Consumer Discretionary","Equity","12,320,537.87","0.31","12,320,537.87","6,697.00","1,839.71","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER","Health Care","Equity","12,064,252.36","0.30","12,064,252.36","57,901.00","208.36","United States","NYSE","USD","1.00","USD","-"
"SNPS","SYNOPSYS","Information Technology","Equity","12,047,835.51","0.30","12,047,835.51","31,833.00","378.47","United States","NASDAQ","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","11,980,030.00","0.30","11,980,030.00","164,110.00","73.00","United States","NYSE","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","11,908,823.34","0.30","11,908,823.34","77,486.00","153.69","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC","Industrials","Equity","11,870,555.52","0.30","11,870,555.52","42,256.00","280.92","United States","NYSE","USD","1.00","USD","-"
"J","JACOBS SOLUTIONS INC","Industrials","Equity","11,555,967.15","0.29","11,555,967.15","80,535.00","143.49","United States","NYSE","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","11,449,288.29","0.29","11,449,288.29","81,507.00","140.47","United States","NYSE","USD","1.00","USD","-"
"VEEV","VEEVA SYSTEMS CLASS A","Health Care","Equity","11,443,415.10","0.29","11,443,415.10","43,199.00","264.90","United States","NYSE","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","11,403,432.48","0.29","11,403,432.48","60,132.00","189.64","United States","NYSE","USD","1.00","USD","-"
"WAT","WATERS CORP","Health Care","Equity","11,374,448.80","0.29","11,374,448.80","27,170.00","418.64","United States","NYSE","USD","1.00","USD","-"
"WSM","WILLIAMS SONOMA INC","Consumer Discretionary","Equity","11,194,314.60","0.28","11,194,314.60","51,303.00","218.20","United States","NYSE","USD","1.00","USD","-"
"CHD","CHURCH AND DWIGHT INC","Consumer Staples","Equity","11,185,271.61","0.28","11,185,271.61","117,111.00","95.51","United States","NYSE","USD","1.00","USD","-"
"T","AT&T","Communication","Equity","11,067,614.52","0.28","11,067,614.52","427,982.00","25.86","United States","NYSE","USD","1.00","USD","-"
"TSCO","TRACTOR SUPPLY","Consumer Discretionary","Equity","11,011,129.80","0.28","11,011,129.80","335,910.00","32.78","United States","NASDAQ","USD","1.00","USD","-"
"FFIV","F5","Information Technology","Equity","10,988,771.78","0.28","10,988,771.78","25,942.00","423.59","United States","NASDAQ","USD","1.00","USD","-"
"SNDK","SANDISK","Information Technology","Equity","10,887,545.11","0.27","10,887,545.11","7,163.00","1,519.97","United States","NASDAQ","USD","1.00","USD","-"
